Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
NoMTD,100,0,0.125,212.63811626429123,0.01,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.25,212.63811626429123,0.02,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.375,212.63811626429123,0.03,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.3333333333333333,496.2031250446893,0.04,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.4166666666666667,496.2031250446893,0.05,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.5000000000000001,496.2031250446893,0.060000000000000005,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.5833333333333333,496.2031250446893,0.06999999999999999,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.5,626.9486002047877,0.08,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.5625,626.9486002047877,0.09,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.625,626.9486002047877,0.09999999999999999,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.6875,626.9486002047877,0.11,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.6,952.8465023145812,0.12,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.65,952.8465023145812,0.13,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7000000000000001,952.8465023145812,0.14,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7500000000000001,952.8465023145812,0.15000000000000002,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.6666666666666666,1195.3533438972688,0.16,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7083333333333334,1195.3533438972688,0.17,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7500000000000001,1195.3533438972688,0.18000000000000002,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7916666666666666,1195.3533438972688,0.19,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7142857142857143,1442.8847326666885,0.2,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7500000000000001,1442.8847326666885,0.21000000000000002,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7857142857142857,1442.8847326666885,0.22,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8214285714285714,1442.8847326666885,0.23,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7500000000000001,1583.0110943245036,0.24000000000000002,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.78125,1583.0110943245036,0.25,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8125,1583.0110943245036,0.26,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.84375,1583.0110943245036,0.27,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.7777777777777779,1608.0110943245036,0.28,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8055555555555557,1608.0110943245036,0.29000000000000004,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8333333333333334,1608.0110943245036,0.3,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8611111111111112,1608.0110943245036,0.31,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8,1681.650744830082,0.32,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.825,1681.650744830082,0.33,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.85,1681.650744830082,0.34,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.875,1681.650744830082,0.35000000000000003,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8181818181818183,1769.8097933841418,0.36000000000000004,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8409090909090909,1769.8097933841418,0.37,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8636363636363636,1769.8097933841418,0.38,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8863636363636364,1769.8097933841418,0.39,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8333333333333334,1882.7509289245338,0.4,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8541666666666666,1882.7509289245338,0.41000000000000003,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8750000000000001,1882.7509289245338,0.42000000000000004,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8958333333333334,1882.7509289245338,0.43,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8461538461538461,1907.7509289245338,0.44,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8653846153846154,1907.7509289245338,0.45,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.8846153846153846,1907.7509289245338,0.46,25,5,1.0,1.0363503365865372,1.8279095033018364,0
NoMTD,100,0,0.9038461538461539,1907.7509289245338,0.47000000000000003,25,5,1.0,1.0363503365865372,1.8279095033018364,0
